Trial:          773
Mean RMSE:      103.8977 µM
RMSE DA:        28.8389 µM
RMSE AA:        134.6527 µM
RMSE UA:        148.2016 µM
Selected tests: cv, ca
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  664000 (extended)
Patience:       100 val-checks

Features:
  ca_cott_slope
  ca_cott_R2
  ca_Q_early
  ca_Q_late

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         2.6         200.0       191.5       400.0       179.6       
2       5.0         8.3         200.0       374.2       400.0       391.1       
3       5.0         -4.0        200.0       296.5       400.0       235.5       
4       10.0        1.5         0.0         112.9       200.0       140.0       
5       10.0        17.1        0.0         170.9       200.0       165.0       
6       10.0        4.0         0.0         167.8       200.0       165.8       
7       20.0        73.0        200.0       193.4       0.0         141.3       
8       20.0        71.1        200.0       192.0       0.0         140.1       
9       20.0        52.4        200.0       203.5       0.0         152.1       
10      50.0        72.9        100.0       196.1       400.0       142.8       
11      50.0        56.7        100.0       195.6       400.0       146.3       
12      50.0        38.8        100.0       236.6       400.0       185.3       
13      100.0       64.6        400.0       242.7       100.0       169.1       
14      100.0       69.3        400.0       173.6       100.0       133.9       
15      100.0       46.6        400.0       178.7       100.0       150.0       
