Trial:          778
Mean RMSE:      110.1928 µM
RMSE DA:        37.1411 µM
RMSE AA:        127.3623 µM
RMSE UA:        166.0749 µM
Selected tests: ca
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  174000 (extended)
Patience:       100 val-checks

Features:
  ca_cott_slope
  ca_cott_R2
  ca_Q_late

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         24.8        200.0       204.0       400.0       187.3       
2       5.0         0.8         200.0       169.0       400.0       151.2       
3       5.0         20.8        200.0       131.5       400.0       182.1       
4       10.0        20.4        0.0         179.6       200.0       167.1       
5       10.0        15.6        0.0         175.5       200.0       133.6       
6       10.0        16.8        0.0         159.3       200.0       141.7       
7       20.0        80.7        200.0       229.3       0.0         103.1       
8       20.0        83.6        200.0       119.4       0.0         148.8       
9       20.0        73.5        200.0       160.4       0.0         165.2       
10      50.0        59.1        100.0       170.2       400.0       157.1       
11      50.0        59.6        100.0       137.4       400.0       166.3       
12      50.0        58.3        100.0       152.1       400.0       172.2       
13      100.0       73.3        400.0       238.6       100.0       207.0       
14      100.0       34.9        400.0       180.0       100.0       185.3       
15      100.0       36.3        400.0       161.6       100.0       176.6       
