Trial:          806
Mean RMSE:      104.5430 µM
RMSE DA:        31.6950 µM
RMSE AA:        150.1846 µM
RMSE UA:        131.7494 µM
Selected tests: dpv
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  219200 (extended)
Patience:       100 val-checks

Features:
  dpv_AA_Ip
  dpv_AA_Ep
  dpv_DA_Area
  dpv_dEp_DA_AA

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         -3.0        200.0       382.2       400.0       244.2       
2       5.0         -2.8        200.0       271.9       400.0       204.2       
3       5.0         -5.6        200.0       277.4       400.0       204.9       
4       10.0        40.7        0.0         186.5       200.0       198.2       
5       10.0        34.2        0.0         102.0       200.0       155.1       
6       10.0        37.7        0.0         194.7       200.0       193.7       
7       20.0        43.5        200.0       239.1       0.0         -75.4       
8       20.0        44.9        200.0       130.4       0.0         66.2        
9       20.0        43.5        200.0       108.5       0.0         86.8        
10      50.0        42.1        100.0       199.6       400.0       191.4       
11      50.0        41.2        100.0       185.2       400.0       205.1       
12      50.0        40.6        100.0       216.1       400.0       212.7       
13      100.0       44.4        400.0       153.9       100.0       180.7       
14      100.0       39.4        400.0       118.2       100.0       162.5       
15      100.0       38.1        400.0       240.3       100.0       214.2       
