Trial:          820
Mean RMSE:      106.4238 µM
RMSE DA:        27.0846 µM
RMSE AA:        129.5549 µM
RMSE UA:        162.6320 µM
Selected tests: cv, ca, cagc
N features:     4
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  480000 (extended)
Patience:       100 val-checks

Features:
  ca_I0
  ca_Q_late_early
  cagc_CE_1s
  cagc_CE_10s

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         13.8        200.0       402.4       400.0       259.2       
2       5.0         28.8        200.0       173.3       400.0       219.2       
3       5.0         24.0        200.0       246.8       400.0       232.0       
4       10.0        15.3        0.0         116.4       200.0       145.6       
5       10.0        14.5        0.0         179.3       200.0       56.4        
6       10.0        9.4         0.0         162.2       200.0       83.1        
7       20.0        59.6        200.0       232.6       0.0         181.9       
8       20.0        58.6        200.0       186.2       0.0         166.7       
9       20.0        38.8        200.0       275.2       0.0         207.4       
10      50.0        64.7        100.0       138.6       400.0       153.9       
11      50.0        62.0        100.0       169.7       400.0       160.7       
12      50.0        39.4        100.0       262.0       400.0       205.2       
13      100.0       65.3        400.0       267.0       100.0       174.4       
14      100.0       58.3        400.0       180.2       100.0       167.5       
15      100.0       44.1        400.0       225.5       100.0       194.7       
