Trial:          822
Mean RMSE:      101.0043 µM
RMSE DA:        25.7368 µM
RMSE AA:        113.6915 µM
RMSE UA:        163.5844 µM
Selected tests: cagc
N features:     2
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  1282800 (extended)
Patience:       100 val-checks

Features:
  cagc_CE_1s
  cagc_AF

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         50.2        200.0       213.5       400.0       186.7       
2       5.0         39.8        200.0       176.5       400.0       167.3       
3       5.0         34.3        200.0       156.4       400.0       152.5       
4       10.0        14.6        0.0         113.0       200.0       109.0       
5       10.0        15.6        0.0         137.9       200.0       90.9        
6       10.0        14.5        0.0         131.9       200.0       91.6        
7       20.0        18.5        200.0       101.3       0.0         120.9       
8       20.0        41.2        200.0       178.5       0.0         160.8       
9       20.0        43.1        200.0       187.2       0.0         167.0       
10      50.0        59.1        100.0       247.5       400.0       221.2       
11      50.0        61.8        100.0       256.1       400.0       218.1       
12      50.0        59.9        100.0       249.0       400.0       212.6       
13      100.0       66.3        400.0       271.8       100.0       225.7       
14      100.0       60.7        400.0       252.0       100.0       213.3       
15      100.0       57.9        400.0       241.8       100.0       206.5       
