technique,sweep,held_out_ua,day,condition,da_uM,aa_uM,ua_uM,baseline_rmse_global,baseline_r2_global,baseline_rmse_AA,baseline_r2_AA,baseline_rmse_DA,baseline_r2_DA,baseline_rmse_UA,baseline_r2_UA,corrected_rmse_global,corrected_r2_global,corrected_rmse_AA,corrected_r2_AA,corrected_rmse_DA,corrected_r2_DA,corrected_rmse_UA,corrected_r2_UA
cv_normal,anodic,0,1,6,5,100,0,0.9239910096,-3.523457691,0.216389842,-12.73692221,0.1354492309,-0.2991373592,0.216999866,-14.2855023,0.2153933575,0.7541899396,0.02747312764,0.7785723213,0.2933715833,-5.094499902,0.1814581058,-9.688420455
cv_normal,anodic,0,1,7,5,200,0,0.9034359496,-3.186730215,0.2500524444,-10.18125203,0.2814922962,-0.8928671289,0.2609615381,-3.304240872,0.2793232846,0.5997839315,0.02179351299,0.9150657783,0.493544837,-4.81889242,0.266742393,-3.497049277
cv_normal,anodic,0,1,8,5,400,0,0.9834780096,-3.612378513,0.2489181481,-2.751962826,0.4937755611,-1.208546778,0.4993556162,-4.10433862,0.3332273579,0.4704866274,0.06202089196,0.767072149,0.6128717545,-2.402409895,0.4368428058,-2.906339417
cv_normal,anodic,0,1,10,10,100,0,0.9065462075,-2.484763903,0.2199737955,-14.18569515,0.109373032,0.03797389206,0.2652007286,-40.86798568,0.2173819291,0.7996264717,0.02168487324,0.852427119,0.2613749659,-4.494071831,0.08276161653,-3.077468089
cv_normal,anodic,0,1,11,10,200,0,0.913219243,-2.793655173,0.260668352,-12.32871735,0.2945162755,-0.877045083,0.3233879902,-7.876566497,0.2688618951,0.6711739199,0.02680099243,0.8590991873,0.5120871063,-4.674711488,0.1623159995,-1.236247649
cv_normal,anodic,0,1,12,10,400,0,1.022894432,-3.95000794,0.2615189707,-3.216738386,0.5457183909,-1.258608084,0.5397680548,-6.738569293,0.3258190478,0.4977762963,0.05863965473,0.7879915993,0.6799341363,-2.506205685,0.356249162,-2.370963286
cv_normal,anodic,0,1,14,20,100,0,0.9125387174,-1.889320143,0.213402249,-8.889563882,0.2121453816,-0.1221513229,0.242997991,-8.018258838,0.218084109,0.8349782805,0.02372628289,0.8777529002,0.3917528027,-2.826559643,0.1414299535,-2.054922007
cv_normal,anodic,0,1,15,20,200,0,0.9340791732,-2.25553751,0.2368076532,-5.912646336,0.4052290973,-0.70890563,0.310105756,-2.978139577,0.2845032596,0.6979840921,0.02596311766,0.9169065955,0.6307221083,-3.139929495,0.1950065915,-0.5731094667
cv_normal,anodic,0,1,16,20,400,0,1.044558413,-3.002512621,0.2191735587,-0.9160621359,0.6691610948,-0.9892555277,0.5491671459,-3.735008661,0.3819352406,0.4648855097,0.08972214228,0.678905742,0.810641605,-1.919355519,0.4179917192,-1.7431341
cv_normal,anodic,0,1,18,50,100,0,1.01782001,-2.839750866,0.2084309664,-6.921578445,0.1637139863,0.5740578718,0.242019108,-2.593990214,0.1899731445,0.866234074,0.03055317128,0.8297842148,0.3947213311,-1.476054633,0.1448920312,-0.2881504219
cv_normal,anodic,0,1,19,50,200,0,1.045222901,-3.479287478,0.1989728549,-2.180919907,0.3093385353,0.195807187,0.2993665426,-1.339197958,0.261443916,0.7197483472,0.05733220565,0.7359036667,0.5855392923,-1.881404466,0.2308601438,-0.3911000828
cv_normal,anodic,0,1,20,50,400,0,1.162783414,-4.208394563,0.1673982083,0.1744080455,0.5633593394,-0.2085413802,0.5390966004,-1.724493797,0.4212657986,0.3163739195,0.135594789,0.458311219,0.7773060657,-1.300777606,0.5477602922,-1.812766819
cv_normal,anodic,0,1,22,100,100,0,1.044424847,-8.30429896,0.1393310088,-0.7720361319,0.0597609869,0.94339139,0.2045169333,-0.6956149674,0.1487455529,0.8112802962,0.09853015665,0.1138334432,0.2610364243,-0.08006325955,0.151018968,0.07544725228
