technique,sweep,held_out_ua,day,condition,da_uM,aa_uM,ua_uM,baseline_rmse_global,baseline_r2_global,baseline_rmse_AA,baseline_r2_AA,baseline_rmse_DA,baseline_r2_DA,baseline_rmse_UA,baseline_r2_UA,corrected_rmse_global,corrected_r2_global,corrected_rmse_AA,corrected_r2_AA,corrected_rmse_DA,corrected_r2_DA,corrected_rmse_UA,corrected_r2_UA
cv_normal,anodic,0,1,6,5,100,0,0.9239910096,-3.523457691,0.216389842,-12.73692221,0.1354492309,-0.2991373592,0.216999866,-14.2855023,0.4538377653,-0.09128027577,0.1558209217,-6.123070416,0.2179282723,-2.363017574,0.2803407577,-24.51133989
cv_normal,anodic,0,1,7,5,200,0,0.9034359496,-3.186730215,0.2500524444,-10.18125203,0.2814922962,-0.8928671289,0.2609615381,-3.304240872,0.4880356483,-0.2217527705,0.1312558529,-2.080814751,0.3782083355,-2.417033954,0.3850505859,-8.370853265
cv_normal,anodic,0,1,8,5,400,0,0.9834780096,-3.612378513,0.2489181481,-2.751962826,0.4937755611,-1.208546778,0.4993556162,-4.10433862,0.544263486,-0.4125831809,0.1075517215,0.2995451656,0.5956748603,-2.214148685,0.5929902195,-6.198046716
cv_normal,anodic,0,1,10,10,100,0,0.9065462075,-2.484763903,0.2199737955,-14.18569515,0.109373032,0.03797389206,0.2652007286,-40.86798568,0.4973245876,-0.04875327744,0.1451171616,-5.608917501,0.1956170331,-2.077369821,0.2128032835,-25.95810065
cv_normal,anodic,0,1,11,10,200,0,0.913219243,-2.793655173,0.260668352,-12.32871735,0.2945162755,-0.877045083,0.3233879902,-7.876566497,0.505463968,-0.1622194766,0.1124586262,-1.480831648,0.4057382546,-2.562443766,0.2955917695,-6.416208155
cv_normal,anodic,0,1,12,10,400,0,1.022894432,-3.95000794,0.2615189707,-3.216738386,0.5457183909,-1.258608084,0.5397680548,-6.738569293,0.5353148339,-0.3556975847,0.09191719124,0.4790887335,0.6668391908,-2.372453187,0.4804325599,-5.130715815
cv_normal,anodic,0,1,14,20,100,0,0.9125387174,-1.889320143,0.213402249,-8.889563882,0.2121453816,-0.1221513229,0.242997991,-8.018258838,0.5616847491,-0.09465768298,0.141356345,-3.339201025,0.3446982081,-1.962526978,0.2212386366,-6.475483324
cv_normal,anodic,0,1,15,20,200,0,0.9340791732,-2.25553751,0.2368076532,-5.912646336,0.4052290973,-0.70890563,0.310105756,-2.978139577,0.567267034,-0.2006886839,0.1242691279,-0.9036161084,0.5517285349,-2.16787275,0.3074341015,-2.909889106
cv_normal,anodic,0,1,16,20,400,0,1.044558413,-3.002512621,0.2191735587,-0.9160621359,0.6691610948,-0.9892555277,0.5491671459,-3.735008661,0.610613024,-0.3677268544,0.1159710342,0.4635461943,0.822442837,-2.004973542,0.5080970145,-3.053264724
cv_normal,anodic,0,1,18,50,100,0,1.01782001,-2.839750866,0.2084309664,-6.921578445,0.1637139863,0.5740578718,0.242019108,-2.593990214,0.5506861065,-0.1240077788,0.1063872055,-1.063792575,0.3511797524,-0.9599182913,0.1666330748,-0.703726956
cv_normal,anodic,0,1,19,50,200,0,1.045222901,-3.479287478,0.1989728549,-2.180919907,0.3093385353,0.195807187,0.2993665426,-1.339197958,0.5459816531,-0.2222138505,0.1153300827,-0.0686863895,0.5102902906,-1.188400211,0.2541633166,-0.6861111125
cv_normal,anodic,0,1,20,50,400,0,1.162783414,-4.208394563,0.1673982083,0.1744080455,0.5633593394,-0.2085413802,0.5390966004,-1.724493797,0.5941188692,-0.3597307263,0.1027525668,0.6889363955,0.7628920918,-1.216239822,0.5057780933,-1.398129696
cv_normal,anodic,0,1,22,100,100,0,1.044424847,-8.30429896,0.1393310088,-0.7720361319,0.0597609869,0.94339139,0.2045169333,-0.6956149674,0.4042469072,-0.3938713053,0.1034465034,0.02319327443,0.1780887648,0.4972871194,0.114399335,0.4694629753
cv_normal,anodic,0,1,23,100,200,0,1.067549965,-9.831752924,0.1349443813,-0.08760118503,0.0862027028,0.9071361104,0.2354654792,-0.67730789,0.4117056864,-0.6110019085,0.09492601224,0.4618163086,0.2044632603,0.4775609059,0.1622168507,0.2039318843
cv_normal,anodic,0,1,24,100,400,0,1.126251743,-9.955632359,0.136775547,0.266535801,0.1634968052,0.7063740519,0.3715677417,-3.635663123,0.4825564779,-1.011234906,0.01211377422,0.9942466479,0.229190628,0.4230082554,0.2589381591,-1.251272023
cv_normal,anodic,100,2,2,0,100,100,1.042903571,-28.31102359,0.2753190726,-403.4904296,0.1636583892,-144.696344,0.3889378301,-6086.514157,0.2250987607,-0.3654911317,0.02888095488,-3.451011852,0.1298864583,-90.76981554,0.1093768959,-480.4273933
cv_normal,anodic,100,2,3,0,200,100,1.030188027,-24.2812135,0.2880805225,-309.673047,0.1520427938,-41.09595284,0.5423748309,-6894.148473,0.2256404082,-0.2128264872,0.04680390744,-7.200493872,0.1599369471,-45.58072731,0.1742567827,-710.7442211
cv_normal,anodic,100,2,4,0,400,100,1.069384434,-13.90098462,0.2875797924,-119.6438623,0.1171070493,-6.142027596,0.7288597097,-80.2041853,0.2548841341,0.1534885149,0.0906567567,-10.98916277,0.2605031825,-34.34121804,0.260809023,-9.397663321
cv_normal,anodic,100,2,5,5,0,100,1.120036379,-100.362584,0.2284902578,-3623.363928,0.1259107448,-172.4535071,0.1774245272,-40.98254959,0.2484307733,-3.9868258,0.0241981536,-39.65003109,0.07403379541,-58.9677188,0.02797235605,-0.04351715218
cv_normal,anodic,100,2,6,5,100,100,1.094594132,-49.97366987,0.3037175906,-282.7111786,0.18409238,-214.7031763,0.3776217298,-540.9583538,0.2462963342,-1.580807232,0.05435296638,-8.086216035,0.1368605353,-118.217877,0.09412257142,-32.66972176
cv_normal,anodic,100,2,7,5,200,100,1.08435848,-31.59210003,0.3231805281,-131.6820324,0.1994674982,-858.2305615,0.5498471642,-3105.006956,0.24595885,-0.6768394861,0.06060861381,-3.66649114,0.1885769417,-766.9670924,0.1781835679,-325.1773097
cv_normal,anodic,100,2,8,5,400,100,1.142768775,-18.34340626,0.3553290386,-88.7025658,0.1936824723,-156.2015806,0.8103717037,-2013.376368,0.2775030766,-0.1406484836,0.1365238856,-12.24221833,0.2997225295,-375.4567133,0.2906760129,-258.1734267
cv_normal,anodic,100,2,9,10,0,100,1.139520406,-70.73995424,0.2202620228,-486.3918265,0.1419665571,-80.03073381,0.2050775138,-34.08391506,0.2127271833,-1.500131551,0.01764460612,-2.127684454,0.07843658676,-23.73517828,0.03283247535,0.1007525456
cv_normal,anodic,100,2,10,10,100,100,1.121858848,-70.19161633,0.2957054874,-123.6883394,0.1835341875,-21.13111277,0.3423613065,-73.07808503,0.2332288748,-2.076926004,0.048140074,-2.304612798,0.1254186056,-9.33458973,0.05438327777,-0.8691801325
cv_normal,anodic,100,2,11,10,200,100,1.115819455,-68.97837763,0.3000404649,-51.74155304,0.209999704,-83.08312919,0.5193467244,-468.6412427,0.2425174443,-2.305688877,0.04063773326,0.03249725637,0.1878089557,-66.25182837,0.1462245404,-36.22990818
cv_normal,anodic,100,2,12,10,400,100,1.166490976,-28.30906554,0.2931924471,-20.93586761,0.2197590421,-113.0479334,0.8071582817,-971.1832609,0.2618833161,-0.4772529577,0.07925160684,-0.6027486236,0.3167462867,-235.9283216,0.2989099527,-132.3249645
cv_normal,anodic,100,2,13,20,0,100,1.107231412,-49.73525699,0.2475824798,-85.38586755,0.1997122177,-31.03533578,0.2418617258,-105.4542,0.1941197159,-0.5594532583,0.05075976722,-2.631132742,0.1129734813,-9.251160558,0.0597175958,-5.489827231
cv_normal,anodic,100,2,14,20,100,100,1.109034075,-80.01584983,0.2755715933,-29.07396187,0.1167232984,-0.4339756027,0.3081489896,-15.80481232,0.2245472857,-2.321206132,0.03205192542,0.5931540498,0.01991084043,0.9582740875,0.01221988133,0.9735731045
cv_normal,anodic,100,2,15,20,200,100,1.100512775,-83.21006671,0.2778399073,-12.77898732,0.1350571343,-0.4186167535,0.3817967489,-38.22348529,0.2263897107,-2.563585666,0.01520370537,0.958740217,0.05297820603,0.7817146851,0.04097172873,0.5482997753
cv_normal,anodic,100,2,16,20,400,100,1.151450767,-87.18599106,0.2761454788,-5.614548447,0.1940199896,-2.325842376,0.6014462365,-7800.204942,0.2108507069,-1.957052098,0.05427586247,0.7444724128,0.1953199177,-2.37055776,0.1401773762,-422.7638612
cv_normal,anodic,100,2,17,50,0,100,1.208859703,-56.20376093,0.2385038705,-48.23434128,0.2547829435,-11.60435057,0.2631913286,-17.09415802,0.1306083587,0.3322487259,0.05550619524,-1.666614197,0.1193969277,-1.767999937,0.06465538632,-0.09195476457
cv_normal,anodic,100,2,18,50,100,100,1.234015491,-101.5876944,0.2641500758,-22.17896113,0.2074958991,-1.892849758,0.3276160214,-8.341641632,0.1761389703,-1.090089831,0.04174976935,0.4209705553,0.0724770368,0.6470544576,0.03165658313,0.9127790097
