technique,sweep,ua_uM,n_mixtures,mean_abs_residual_uA,max_abs_residual_uA,residual_std_uA
cv_normal,anodic,0,15,0.4558398395,7.569798314,0.9326030766
cv_normal,anodic,100,23,0.5748239994,7.740479727,0.9724718692
cv_normal,anodic,200,23,0.5205073757,6.932898065,0.843702038
cv_normal,anodic,400,23,0.5193731034,7.703927233,0.9697331121
cv_normal,cathodic,0,15,0.4397275034,9.739976439,1.020793242
cv_normal,cathodic,100,23,0.5190501343,10.10043711,1.084509036
cv_normal,cathodic,200,23,0.4392997716,9.086245971,0.9285849734
cv_normal,cathodic,400,23,0.4514863273,10.05568905,1.028461361
cv_gc,anodic,0,15,1.048554682,16.29197902,1.737312243
cv_gc,anodic,100,23,2.486825646,26.37051575,4.418847211
cv_gc,anodic,200,23,1.623046082,19.09486877,3.014740073
cv_gc,anodic,400,23,1.848415099,22.63136626,3.696647075
cv_gc,cathodic,0,15,0.8569076164,14.73620752,1.588037951
cv_gc,cathodic,100,23,2.005426639,23.0586479,3.849091456
cv_gc,cathodic,200,23,1.374213345,18.01670442,2.863298251
cv_gc,cathodic,400,23,1.540746834,20.52912531,3.350268395
